,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense
AMZN,211380035.679101,0.189579,88287000000.0,1115000000.0,1115000000.0,30425000000.0,48663000000.0,480980000000.0,89402000000.0,40739000000.0,-233000000.0,3182000000.0,2949000000.0,29521380035.6791,30425000000.0,537933000000.0,36852000000.0,10492000000.0,10304000000.0,2.9,2.95,30425000000.0,30425000000.0,,30425000000.0,30425000000.0,30425000000.0,7120000000.0,37557000000.0,,-233000000.0,3182000000.0,2949000000.0,36852000000.0,56953000000.0,93805000000.0,480980000000.0,574785000000.0,574785000000.0,56186000000.0,44370000000.0,11816000000.0
ADM.L,0.0,0.238,,,,338000000.0,58700000.0,,,463300000.0,-20100000.0,20500000.0,71700000.0,338000000.0,338000000.0,3108500000.0,,305052941.0,303989170.0,1.108,1.112,338000000.0,338000000.0,,338000000.0,337200000.0,337200000.0,105600000.0,442800000.0,,-20100000.0,20500000.0,400000.0,,,,,3551300000.0,3551300000.0,654300000.0,,654300000.0
RWEA.F,659100000.0,0.15,5058000000.0,4394000000.0,4394000000.0,1450000000.0,3821000000.0,20479000000.0,9452000000.0,5627000000.0,-476000000.0,1621000000.0,834000000.0,-2284900000.0,1450000000.0,28933000000.0,,743841000.0,743841000.0,1.95,1.95,1450000000.0,1450000000.0,0.0,1450000000.0,1597000000.0,1597000000.0,2409000000.0,4006000000.0,477000000.0,-476000000.0,1621000000.0,834000000.0,-367000000.0,8454000000.0,8087000000.0,20479000000.0,28566000000.0,28566000000.0,825000000.0,,825000000.0
1BR1.F,-157875000.0,0.25,-329800000.0,-397500000.0,-631500000.0,-1629100000.0,49300000.0,1178700000.0,-727300000.0,-776600000.0,-435200000.0,994600000.0,472100000.0,-921475000.0,-1629100000.0,1409900000.0,-968900000.0,,,,,-1629100000.0,-1629100000.0,0.0,-1629100000.0,-1778700000.0,-1778600000.0,7400000.0,-1771200000.0,-261500000.0,-435200000.0,994600000.0,472100000.0,1651100000.0,231200000.0,1882300000.0,1178700000.0,3061000000.0,3061000000.0,199300000.0,,199300000.0
AAPL,0.0,0.147,129188000000.0,,,96995000000.0,11519000000.0,214137000000.0,129188000000.0,117669000000.0,-183000000.0,3933000000.0,3750000000.0,96995000000.0,96995000000.0,268984000000.0,114301000000.0,15812547000.0,15744231000.0,6.13,6.16,96995000000.0,96995000000.0,,96995000000.0,96995000000.0,96995000000.0,16741000000.0,113736000000.0,,-183000000.0,3933000000.0,3750000000.0,114301000000.0,54847000000.0,169148000000.0,214137000000.0,383285000000.0,383285000000.0,24932000000.0,,
GIKLY,-7744480.0,0.194,1221916000.0,-39920000.0,-39920000.0,59315000.0,441918000.0,3762627000.0,1181996000.0,740078000.0,-534538000.0,516060000.0,62326000.0,91490520.0,59315000.0,5856319000.0,799398000.0,1359512588.0,1359512588.0,0.045,0.045,59315000.0,59315000.0,,59315000.0,180669000.0,180669000.0,43349000.0,224018000.0,-24993000.0,-534538000.0,516060000.0,62326000.0,735658000.0,1758913000.0,2494571000.0,4097406000.0,6591977000.0,6591977000.0,1259534000.0,,1259534000.0
RBSPF,-86536000.0,0.232,,-373000000.0,-373000000.0,4748000000.0,934000000.0,,,,11049000000.0,9977000000.0,21026000000.0,5034464000.0,4636000000.0,,,9211740042.0,9173277662.0,0.477,0.479,4394000000.0,4394000000.0,242000000.0,4636000000.0,4632000000.0,4744000000.0,1434000000.0,6178000000.0,-373000000.0,,,,,7641000000.0,,,14779000000.0,14779000000.0,1606000000.0,,1606000000.0
ABLZF,29445000.0,0.195,5682000000.0,151000000.0,151000000.0,3769000000.0,780000000.0,21021000000.0,5833000000.0,5053000000.0,-110000000.0,275000000.0,165000000.0,3647445000.0,3745000000.0,27881000000.0,4871000000.0,1867000000.0,1855000000.0,2.01,2.02,3745000000.0,3745000000.0,,3745000000.0,3824000000.0,3848000000.0,930000000.0,4778000000.0,148000000.0,-110000000.0,275000000.0,165000000.0,4354000000.0,6860000000.0,11214000000.0,21021000000.0,32235000000.0,32235000000.0,5543000000.0,3415000000.0,2128000000.0
SAN,-49361443.587095,0.259797,,-190000000.0,-190000000.0,11076000000.0,3184000000.0,,,,43261000000.0,61991000000.0,105252000000.0,11216638556.412905,11076000000.0,,,16247265121.0,16172084714.0,0.651,0.654,10584000000.0,10584000000.0,,11076000000.0,12183000000.0,12183000000.0,4276000000.0,16459000000.0,-190000000.0,,,,,,,,59878000000.0,59878000000.0,21671000000.0,603000000.0,21068000000.0
BEIA.F,-7728000.0,0.322,1604000000.0,-24000000.0,-24000000.0,736000000.0,449000000.0,4031000000.0,1580000000.0,1131000000.0,12000000.0,26000000.0,43000000.0,752272000.0,736000000.0,8283000000.0,1105000000.0,1134094920.0,1134094920.0,0.648,0.648,736000000.0,736000000.0,0.0,736000000.0,749000000.0,749000000.0,356000000.0,1105000000.0,-24000000.0,12000000.0,26000000.0,43000000.0,1164000000.0,4252000000.0,5416000000.0,4031000000.0,9447000000.0,9447000000.0,3820000000.0,3250000000.0,570000000.0
GIFLF,-7744480.0,0.194,1221916000.0,-39920000.0,-39920000.0,59315000.0,441918000.0,3762627000.0,1181996000.0,740078000.0,-534538000.0,516060000.0,62326000.0,91490520.0,59315000.0,5856319000.0,799398000.0,679756294.0,679756294.0,0.09,0.09,59315000.0,59315000.0,,59315000.0,180669000.0,180669000.0,43349000.0,224018000.0,-24993000.0,-534538000.0,516060000.0,62326000.0,735658000.0,1758913000.0,2494571000.0,4097406000.0,6591977000.0,6591977000.0,1259534000.0,,1259534000.0
HNK2.F,17420000.0,0.052,5737000000.0,335000000.0,335000000.0,2304000000.0,2876000000.0,20077000000.0,6072000000.0,3196000000.0,-603000000.0,674000000.0,90000000.0,1986420000.0,2304000000.0,27265000000.0,3229000000.0,1127959240.0,1126897690.0,2.045,2.045,2304000000.0,2304000000.0,0.0,2304000000.0,2401000000.0,2401000000.0,121000000.0,2522000000.0,420000000.0,-603000000.0,674000000.0,90000000.0,3097000000.0,7188000000.0,10285000000.0,20077000000.0,30362000000.0,30362000000.0,,,
SCT.F,-87705600.0,0.256,4015000000.0,-342600000.0,-342600000.0,1710500000.0,859000000.0,6107000000.0,3672400000.0,2813400000.0,-119500000.0,318300000.0,198800000.0,1965394400.0,1710500000.0,7568000000.0,2608200000.0,1093300000.0,1091800000.0,1.565,1.567,1710500000.0,1710500000.0,0.0,1710500000.0,1884400000.0,1884400000.0,610700000.0,2495100000.0,-342600000.0,-119500000.0,318300000.0,198800000.0,2889200000.0,1461000000.0,4350200000.0,6107000000.0,10457200000.0,10457200000.0,,,
WOS.F,-1565150.346955,0.223593,1782000000.0,-7000000.0,-7000000.0,1007000000.0,445000000.0,1576000000.0,1775000000.0,1330000000.0,-27000000.0,,,1012434849.653045,1007000000.0,4254000000.0,1323000000.0,,,,,1007000000.0,1007000000.0,0.0,1007000000.0,1007000000.0,1007000000.0,290000000.0,1297000000.0,-7000000.0,-27000000.0,,,1330000000.0,2678000000.0,4008000000.0,1576000000.0,5584000000.0,5584000000.0,2678000000.0,929000000.0,1749000000.0
3RBB.F,-254340000.0,0.314,3166000000.0,0.0,-810000000.0,1634000000.0,470000000.0,5847000000.0,3166000000.0,2696000000.0,-289000000.0,295000000.0,41000000.0,2999660000.0,1643000000.0,11258000000.0,2531000000.0,3591417670.0,3583504770.0,0.4574,0.4584,1643000000.0,1643000000.0,0.0,1643000000.0,1657000000.0,1648000000.0,753000000.0,2401000000.0,-810000000.0,-289000000.0,295000000.0,41000000.0,3349000000.0,5411000000.0,8760000000.0,5847000000.0,14607000000.0,14607000000.0,5085000000.0,3703000000.0,1382000000.0
SYIEY,3689400.0,0.258,837659000.0,14300000.0,14300000.0,340473000.0,292291000.0,3037616000.0,851959000.0,559668000.0,-94413000.0,94719000.0,14613000.0,329862400.0,340473000.0,4194356000.0,559362000.0,,,,,340473000.0,340473000.0,0.0,340473000.0,344944000.0,344944000.0,120005000.0,464949000.0,14300000.0,-94413000.0,94719000.0,14613000.0,535831000.0,1156740000.0,1692571000.0,3037616000.0,4730187000.0,4730187000.0,951622000.0,675828000.0,275794000.0
KBCSY,35744436.468055,0.186169,,192000000.0,192000000.0,3402000000.0,650000000.0,,,,5473000000.0,14697000000.0,20170000000.0,3354744436.468055,3402000000.0,,,830000000.0,830000000.0,4.02,4.02,3338000000.0,3338000000.0,64000000.0,3402000000.0,3401000000.0,3401000000.0,778000000.0,4179000000.0,192000000.0,,,,,6827000000.0,,,10770000000.0,10770000000.0,1375000000.0,108000000.0,1267000000.0
1N8U.F,9541152.0,0.2592,996035000.0,36810000.0,36810000.0,698322000.0,85453000.0,237345000.0,1032845000.0,947392000.0,241618000.0,4783000.0,246401000.0,671053152.0,698322000.0,1181569000.0,,3115699000.0,3101212200.0,0.2241,0.2252,698322000.0,698322000.0,0.0,698322000.0,698322000.0,698322000.0,244287000.0,942609000.0,,241618000.0,4783000.0,246401000.0,681837000.0,944224000.0,1626061000.0,237345000.0,1863406000.0,1863406000.0,52990000.0,52990000.0,
ADS.F,-1800000.0,0.15,1449000000.0,-12000000.0,-12000000.0,-119000000.0,1212000000.0,11244000000.0,1437000000.0,225000000.0,-83000000.0,160000000.0,39000000.0,-108800000.0,-75000000.0,21148000000.0,268000000.0,178557615.0,178543596.0,-0.42,-0.42,-75000000.0,-75000000.0,0.0,-75000000.0,-14000000.0,-58000000.0,124000000.0,65000000.0,-12000000.0,-83000000.0,160000000.0,39000000.0,279000000.0,9904000000.0,10183000000.0,11244000000.0,21427000000.0,21427000000.0,9914000000.0,8075000000.0,1839000000.0
CPYYF,-412170000.0,0.33,8546000000.0,-1249000000.0,-1249000000.0,3929000000.0,518000000.0,16835000000.0,7297000000.0,6779000000.0,-37000000.0,306000000.0,269000000.0,4765830000.0,3929000000.0,18907000000.0,6512000000.0,,,,,3929000000.0,3929000000.0,0.0,3929000000.0,4040000000.0,4040000000.0,2433000000.0,6473000000.0,-645000000.0,-37000000.0,306000000.0,269000000.0,7551000000.0,2072000000.0,9623000000.0,16835000000.0,26458000000.0,26458000000.0,,,
10J.F,0.0,0.223,485300000.0,,,254600000.0,140900000.0,907000000.0,485300000.0,344400000.0,-12600000.0,16800000.0,5500000.0,254600000.0,254600000.0,1970700000.0,340200000.0,550200000.0,548100000.0,0.463,0.465,254600000.0,254600000.0,0.0,254600000.0,254600000.0,254600000.0,73000000.0,327600000.0,,-12600000.0,16800000.0,5500000.0,340200000.0,1063700000.0,1403900000.0,907000000.0,2310900000.0,2310900000.0,,,
BX7.F,-666600.0,0.2222,1749000000.0,-3000000.0,-3000000.0,357000000.0,1185000000.0,2198000000.0,1746000000.0,561000000.0,-103000000.0,100000000.0,7000000.0,359333400.0,357000000.0,5398000000.0,601000000.0,322442197.0,322442197.0,1.11,1.11,357000000.0,357000000.0,0.0,357000000.0,357000000.0,357000000.0,104000000.0,461000000.0,6000000.0,-103000000.0,100000000.0,7000000.0,595000000.0,3200000000.0,3795000000.0,2198000000.0,5993000000.0,5993000000.0,289000000.0,105000000.0,184000000.0
BVA.L,-754124000.0,0.322,,-2342000000.0,-2342000000.0,8019000000.0,1403000000.0,,,,23089000000.0,24760000000.0,47850000000.0,9606876000.0,8019000000.0,,,5954000000.0,5954000000.0,1.29,1.29,7675000000.0,7675000000.0,344000000.0,8019000000.0,8416000000.0,8416000000.0,4003000000.0,12419000000.0,-2255000000.0,,,,,,,,33427000000.0,33427000000.0,10982000000.0,349000000.0,10633000000.0
CRDA.L,0.0,0.272,388400000.0,0.0,0.0,171000000.0,126200000.0,964500000.0,388400000.0,262200000.0,-11200000.0,25900000.0,14800000.0,171000000.0,171000000.0,1447000000.0,247500000.0,,,,,171000000.0,171000000.0,0.0,171000000.0,172100000.0,172100000.0,64200000.0,236300000.0,0.0,-11200000.0,25900000.0,14800000.0,247500000.0,482500000.0,730000000.0,964500000.0,1694500000.0,1694500000.0,482500000.0,77200000.0,405300000.0
EDVMF,-44346000.0,0.19,1098100000.0,-233400000.0,-233400000.0,-22600000.0,542300000.0,1369300000.0,864700000.0,322400000.0,-71200000.0,68900000.0,6000000.0,166454000.0,-208900000.0,1542200000.0,442700000.0,246859569.0,246859569.0,-0.85,-0.85,-208900000.0,-208900000.0,0.0,-208900000.0,-143600000.0,42700000.0,210800000.0,253500000.0,-129500000.0,-71200000.0,68900000.0,6000000.0,572400000.0,172900000.0,745300000.0,1369300000.0,2114600000.0,2114600000.0,12500000.0,,12500000.0
RTO,-28375000.0,0.227,1282000000.0,-125000000.0,-125000000.0,381000000.0,475000000.0,900000000.0,1157000000.0,682000000.0,-164000000.0,189000000.0,25000000.0,477625000.0,381000000.0,4657000000.0,625000000.0,505400000.0,503200000.0,0.7535,0.757,381000000.0,381000000.0,0.0,381000000.0,381000000.0,381000000.0,112000000.0,493000000.0,-126000000.0,-164000000.0,189000000.0,25000000.0,718000000.0,3757000000.0,4475000000.0,900000000.0,5375000000.0,5375000000.0,,,
BB2A.F,0.0,0.292,816000000.0,0.0,0.0,270000000.0,379000000.0,959000000.0,816000000.0,437000000.0,-35000000.0,54000000.0,22000000.0,270000000.0,270000000.0,2550000000.0,418000000.0,366200000.0,365000000.0,0.739,0.741,270000000.0,270000000.0,0.0,270000000.0,271000000.0,271000000.0,111000000.0,383000000.0,0.0,-35000000.0,54000000.0,22000000.0,418000000.0,1591000000.0,2009000000.0,959000000.0,2968000000.0,2968000000.0,1604000000.0,1248000000.0,356000000.0
REP.F,-87916380.297824,0.247652,7606000000.0,-355000000.0,-355000000.0,3168000000.0,2436000000.0,46433000000.0,7251000000.0,4815000000.0,169000000.0,450000000.0,583000000.0,3435083619.702176,3168000000.0,54673000000.0,4294000000.0,1264000000.0,1264000000.0,2.46,2.46,3108000000.0,3108000000.0,60000000.0,3168000000.0,3284000000.0,3284000000.0,1081000000.0,4365000000.0,-420000000.0,169000000.0,450000000.0,583000000.0,4275000000.0,8240000000.0,12515000000.0,46433000000.0,58948000000.0,58948000000.0,587000000.0,,587000000.0
ETCMY,0.0,0.138,1080400000.0,0.0,0.0,314900000.0,535300000.0,103300000.0,1080400000.0,545100000.0,-77600000.0,62900000.0,1600000.0,314900000.0,314900000.0,558100000.0,573500000.0,994281056.0,994281056.0,0.31675,0.31675,314900000.0,314900000.0,0.0,314900000.0,328300000.0,328400000.0,66500000.0,482200000.0,,-77600000.0,62900000.0,1600000.0,573200000.0,454800000.0,1028000000.0,103300000.0,1131300000.0,1131300000.0,202700000.0,,202700000.0
SAPA.F,-102364000.0,0.326,7816000000.0,-314000000.0,-314000000.0,3776000000.0,1373000000.0,8674000000.0,7502000000.0,6129000000.0,-311000000.0,788000000.0,477000000.0,3987636000.0,6139000000.0,25206000000.0,5787000000.0,1180000000.0,1167000000.0,5.17,5.23,6139000000.0,6139000000.0,,6139000000.0,5963000000.0,3600000000.0,1741000000.0,5341000000.0,-215000000.0,-311000000.0,788000000.0,477000000.0,6002000000.0,16532000000.0,22534000000.0,8674000000.0,31207000000.0,31207000000.0,10192000000.0,8828000000.0,1364000000.0
2UA0.F,3820000.0,0.2,291400000.0,19100000.0,19100000.0,233900000.0,14100000.0,,310500000.0,296400000.0,-3100000.0,2800000.0,200000.0,218620000.0,233900000.0,225100000.0,277600000.0,3776576968.0,3740554312.0,0.061925,0.062525,233900000.0,233900000.0,0.0,233900000.0,233900000.0,233900000.0,59700000.0,293600000.0,19100000.0,-3100000.0,2800000.0,200000.0,275100000.0,225100000.0,,,500200000.0,500200000.0,,,
AMIGY,0.0,0.238,,,,338000000.0,58700000.0,,,463300000.0,-20100000.0,20500000.0,71700000.0,338000000.0,338000000.0,3108500000.0,,305052941.0,303989170.0,1.108,1.112,338000000.0,338000000.0,,338000000.0,337200000.0,337200000.0,105600000.0,442800000.0,,-20100000.0,20500000.0,400000.0,,,,,3551300000.0,3551300000.0,654300000.0,,654300000.0
15R.F,3583020.0,0.21,98580000.0,17062000.0,17062000.0,-159184000.0,240820000.0,409906000.0,115642000.0,-125178000.0,-32369000.0,32369000.0,,-172662980.0,-159184000.0,767254000.0,-155009000.0,136620000.0,136620000.0,-1.17,-1.17,-159184000.0,-159184000.0,,-159184000.0,-159184000.0,-159184000.0,1637000.0,-157547000.0,19015000.0,-32369000.0,32369000.0,,-147544000.0,357348000.0,209804000.0,409906000.0,619710000.0,619710000.0,263030000.0,173982000.0,89048000.0
LGI.F,0.0,0.19,,,,457000000.0,,,,423000000.0,-347000000.0,347000000.0,11068000000.0,457000000.0,457000000.0,36367000000.0,,6281000000.0,5915000000.0,0.0728,0.0735,435000000.0,435000000.0,22000000.0,457000000.0,443000000.0,443000000.0,-367000000.0,76000000.0,,-347000000.0,347000000.0,,,,,,36443000000.0,36443000000.0,,,
ASMF.F,0.0,0.158,9976000000.0,,,7839000000.0,739800000.0,13422400000.0,9976000000.0,9236200000.0,41200000.0,152700000.0,193900000.0,7839000000.0,7839000000.0,18516200000.0,9042300000.0,394100000.0,393800000.0,19.91,19.91,7839000000.0,7839000000.0,,7839000000.0,7839000000.0,7839000000.0,1435800000.0,9083500000.0,,41200000.0,152700000.0,193900000.0,9042300000.0,5093800000.0,14136100000.0,13422400000.0,27558500000.0,27558500000.0,1113200000.0,,
MDO0.F,-45493500.0,0.195,14094500000.0,-233300000.0,-233300000.0,8468800000.0,1978200000.0,9334700000.0,13861200000.0,11883000000.0,-1174800000.0,1360800000.0,186000000.0,8656606500.0,8468800000.0,13748100000.0,11646700000.0,732300000.0,727900000.0,11.56,11.63,8468800000.0,8468800000.0,,8468800000.0,8468800000.0,8468800000.0,2053400000.0,10522200000.0,-252300000.0,-1174800000.0,1360800000.0,186000000.0,11745600000.0,2816900000.0,14562500000.0,10931200000.0,25493700000.0,25178100000.0,2435200000.0,,
BZLFY,-7825000.0,0.25,1210600000.0,-31300000.0,-31300000.0,526200000.0,342800000.0,8609200000.0,1179300000.0,836500000.0,-80100000.0,137900000.0,59500000.0,549675000.0,526200000.0,10990600000.0,789100000.0,337200000.0,335000000.0,1.56,1.571,526200000.0,526200000.0,0.0,526200000.0,526200000.0,526200000.0,172400000.0,698600000.0,-28700000.0,-80100000.0,137900000.0,59500000.0,806500000.0,2381400000.0,3187900000.0,8609200000.0,11797100000.0,11797100000.0,,,
SIEGY,626400000.0,0.24,13572000000.0,2610000000.0,2610000000.0,7934000000.0,3608000000.0,48116000000.0,16182000000.0,12574000000.0,646000000.0,1373000000.0,2406000000.0,5950400000.0,7949000000.0,68526000000.0,,1602684000.0,1583076000.0,4.955,5.02,7945000000.0,7949000000.0,0.0,7949000000.0,8529000000.0,8514000000.0,2687000000.0,11201000000.0,2610000000.0,646000000.0,1373000000.0,2406000000.0,9243000000.0,20410000000.0,29653000000.0,48116000000.0,77769000000.0,77769000000.0,13941000000.0,,13941000000.0
472.F,1817627.475871,0.276319,2867708000.0,6578000.0,6578000.0,-297220000.0,2552635000.0,,2874286000.0,321651000.0,-817066000.0,758063000.0,67228000.0,-301980372.524129,-297220000.0,3430004000.0,374072000.0,668713007.0,668713007.0,-0.44,-0.44,-297220000.0,-297220000.0,0.0,-297220000.0,-315823000.0,-315823000.0,-120589000.0,-436412000.0,,-817066000.0,758063000.0,67228000.0,374072000.0,3430004000.0,,,3804076000.0,3804076000.0,,,
ENI1.F,-248160000.0,0.24,26854000000.0,-1034000000.0,-1034000000.0,4771000000.0,7479000000.0,81315000000.0,25820000000.0,18341000000.0,-412000000.0,8113000000.0,7417000000.0,5556840000.0,4771000000.0,84451000000.0,8257000000.0,166355000000.0,1651900000.0,2.8,2.82,4671000000.0,4671000000.0,100000000.0,4771000000.0,4860000000.0,4860000000.0,5368000000.0,10228000000.0,-2129000000.0,-412000000.0,8113000000.0,7417000000.0,9266000000.0,3136000000.0,12402000000.0,81315000000.0,93717000000.0,112828000000.0,3136000000.0,,3136000000.0
BOUYY,-41459200.0,0.3239,5265000000.0,-128000000.0,-128000000.0,1040000000.0,2915000000.0,26013000000.0,5137000000.0,2222000000.0,-434000000.0,474000000.0,73000000.0,1126540800.0,1040000000.0,53819000000.0,2113000000.0,,,,,1040000000.0,1040000000.0,0.0,1040000000.0,1201000000.0,1201000000.0,547000000.0,1748000000.0,-150000000.0,-434000000.0,474000000.0,73000000.0,2237000000.0,27806000000.0,30043000000.0,26013000000.0,56056000000.0,56056000000.0,,,
AYJ0.F,1399500.0,0.25,-63318000.0,5598000.0,5598000.0,-101429000.0,17584000.0,100875000.0,-57720000.0,-75304000.0,-22115000.0,23325000.0,1210000.0,-105627500.0,-101429000.0,235824000.0,-82087000.0,69471918.0,69471918.0,-1.46,-1.46,-101429000.0,-101429000.0,,-101429000.0,-101429000.0,-101429000.0,2800000.0,-98629000.0,24000.0,-22115000.0,23325000.0,1210000.0,-82112000.0,134949000.0,52837000.0,100875000.0,153712000.0,153712000.0,96551000.0,48752000.0,47799000.0
27M.F,195000.0,0.065,150000000.0,3000000.0,3000000.0,-234000000.0,405000000.0,2533000000.0,153000000.0,-252000000.0,-61000000.0,76000000.0,25000000.0,-236805000.0,-308000000.0,3224000000.0,-270000000.0,1406000000.0,1406000000.0,-0.219,-0.219,-308000000.0,-308000000.0,0.0,-308000000.0,-303000000.0,-229000000.0,-99000000.0,-328000000.0,,-61000000.0,76000000.0,25000000.0,-270000000.0,691000000.0,421000000.0,2533000000.0,2954000000.0,2954000000.0,1364000000.0,31000000.0,1333000000.0
3IC.F,-588000.0,0.008,-1094200000.0,-18600000.0,-73500000.0,-1288700000.0,118500000.0,946100000.0,-1112800000.0,-1231300000.0,-52400000.0,106900000.0,51700000.0,-1160888000.0,-1250300000.0,1400100000.0,-1268800000.0,75891439.0,75778301.0,-16.499446,-16.499446,-1250300000.0,-1250300000.0,0.0,-1250300000.0,-1290600000.0,-1329000000.0,-9200000.0,-1338200000.0,-57700000.0,-52400000.0,106900000.0,51700000.0,256800000.0,454000000.0,710800000.0,946100000.0,1656900000.0,1656900000.0,,,
AXAHY,-53632000.0,0.2095,,-256000000.0,-256000000.0,6675000000.0,54000000.0,,,9187000000.0,-477000000.0,477000000.0,248000000.0,7012368000.0,6675000000.0,84376000000.0,,2298000000.0,2290000000.0,2.83,2.84,6493000000.0,6493000000.0,182000000.0,6675000000.0,6856000000.0,6856000000.0,1855000000.0,8710000000.0,-256000000.0,-477000000.0,477000000.0,,,,,,93083000000.0,93083000000.0,10365000000.0,,10365000000.0
SGK1.F,-21750000.0,0.25,543000000.0,-87000000.0,-87000000.0,211000000.0,130000000.0,156000000.0,456000000.0,326000000.0,-33000000.0,44000000.0,12000000.0,276250000.0,211000000.0,1782000000.0,315000000.0,1036000000.0,1020000000.0,0.2043,0.2075,211000000.0,211000000.0,0.0,211000000.0,211000000.0,211000000.0,71000000.0,282000000.0,-87000000.0,-33000000.0,44000000.0,12000000.0,402000000.0,1626000000.0,2028000000.0,156000000.0,2184000000.0,2184000000.0,1572000000.0,,1572000000.0
UNC.F,440000.0,0.22,1274000000.0,2000000.0,2000000.0,343000000.0,691000000.0,1707000000.0,1276000000.0,585000000.0,-129000000.0,144000000.0,27000000.0,341440000.0,343000000.0,4619000000.0,604000000.0,,,,,343000000.0,343000000.0,0.0,343000000.0,343000000.0,343000000.0,98000000.0,441000000.0,-18000000.0,-129000000.0,144000000.0,27000000.0,633000000.0,2912000000.0,3545000000.0,1707000000.0,5252000000.0,5252000000.0,1824000000.0,1594000000.0,230000000.0
BAYZF,-1115250000.0,0.15,11191000000.0,-745000000.0,-7435000000.0,-2941000000.0,10020000000.0,19749000000.0,10446000000.0,426000000.0,-1611000000.0,2047000000.0,484000000.0,10068750000.0,-2941000000.0,39601000000.0,,,,,,-2941000000.0,-2941000000.0,0.0,-2941000000.0,-2942000000.0,-2942000000.0,1321000000.0,-1621000000.0,-7428000000.0,-1611000000.0,2047000000.0,484000000.0,8036000000.0,19852000000.0,27888000000.0,19749000000.0,47637000000.0,47637000000.0,14935000000.0,12482000000.0,2453000000.0
PPRUY,-47950000.0,0.274,6522000000.0,-105000000.0,-175000000.0,2983000000.0,1823000000.0,4639000000.0,6417000000.0,4594000000.0,-275000000.0,361000000.0,102000000.0,3180050000.0,2983000000.0,14820000000.0,4746000000.0,1224045958.0,1223543888.0,2.437,2.438,2983000000.0,2983000000.0,0.0,2983000000.0,3074000000.0,3074000000.0,1163000000.0,4233000000.0,-104000000.0,-275000000.0,361000000.0,102000000.0,4746000000.0,10181000000.0,14927000000.0,4639000000.0,19566000000.0,19566000000.0,,,
RCF.F,-1108000.0,0.277,1610000000.0,0.0,-4000000.0,602000000.0,626000000.0,5746000000.0,1610000000.0,984000000.0,-167000000.0,151000000.0,21000000.0,608892000.0,602000000.0,7330000000.0,1011000000.0,59096870.0,58603469.0,10.18,10.27,602000000.0,602000000.0,0.0,602000000.0,602000000.0,602000000.0,231000000.0,833000000.0,-4000000.0,-167000000.0,151000000.0,21000000.0,1015000000.0,1584000000.0,2599000000.0,5746000000.0,8345000000.0,8345000000.0,353000000.0,,353000000.0
HRGLF,,,,,,,,,,,,,,,,,,474851593.0,474165337.0,0.682,0.683,,,,,,,,,,,,,,,,,,,,,
FME.F,-66636381.0,0.291,3438617000.0,-228991000.0,-228991000.0,498997000.0,1751971000.0,14528612000.0,3209626000.0,1457655000.0,-336423000.0,424640000.0,88217000.0,661351619.0,498997000.0,17976973000.0,1369438000.0,293413449.0,293413449.0,1.7,1.7,498997000.0,498997000.0,,498997000.0,732458000.0,732458000.0,300557000.0,1033015000.0,-208164000.0,-336423000.0,424640000.0,88217000.0,1476644000.0,3448361000.0,4925005000.0,14528612000.0,19453617000.0,19453617000.0,3196336000.0,,
ANTO.L,88413600.0,0.374,3061800000.0,236400000.0,236400000.0,835100000.0,1211300000.0,3666400000.0,3298200000.0,2086900000.0,-78300000.0,121400000.0,43100000.0,687113600.0,835100000.0,4516000000.0,1782800000.0,,,,,835100000.0,835100000.0,0.0,835100000.0,1299400000.0,1299400000.0,666100000.0,1965500000.0,-25700000.0,-78300000.0,121400000.0,43100000.0,1808500000.0,849600000.0,2658100000.0,3666400000.0,6324500000.0,6324500000.0,618500000.0,,618500000.0
INX.F,8615475.0,0.275,535971000.0,31329000.0,31329000.0,292271000.0,114223000.0,3320073000.0,567300000.0,453077000.0,-48246000.0,50002000.0,3798000.0,269557475.0,292271000.0,4014119000.0,428523000.0,,,,,292271000.0,292271000.0,0.0,292271000.0,292224000.0,292224000.0,110851000.0,403075000.0,31329000.0,-48246000.0,50002000.0,3798000.0,428523000.0,694046000.0,1122569000.0,3320073000.0,4442642000.0,4442642000.0,152712000.0,125170000.0,27542000.0
